geo,Country,year,Consumption Industry,Consumption Households,Consumption Transport,REN Share,REN Share Electricity,REN Share Heat-Cool,REN Share Transport,Price+Taxes,Price
AT,Austria,2015-01-01,7363.897,6631.937,8464.597,33.497,71.487,33.231,11.409,0.1996,0.125
BE,Belgium,2015-01-01,10570.537,8229.602,8910.92,8.06,15.573,7.942,3.921,0.2239,0.18295
BG,Bulgaria,2015-01-01,2719.641,2192.912,3211.585,18.261,18.975,28.903,6.492,0.09495,0.07915
CY,Cyprus,2015-01-01,211.592,323.916,621.949,9.903,8.445,24.066,2.521,0.18975,0.15185
CZ,Czechia,2015-01-01,6477.94,6769.51,6195.22,15.07,14.072,19.787,6.537,0.13965,0.11435
DE,Germany,2015-01-01,56067.59,54959.824,55144.756,14.901,30.882,13.432,6.569,0.2948499999999999,0.1429
DK,Denmark,2015-01-01,2116.284,4445.518,4282.158,30.469,51.292,39.536,6.432,0.3055,0.0909
EE,Estonia,2015-01-01,535.033,857.435,760.004,28.987,16.152,50.031,0.413,0.12965,0.0951
EL,Greece,2015-01-01,3128.446,4460.625,5753.399,15.69,22.089,26.557,1.1,0.1769,0.1219
ES,Spain,2015-01-01,19424.018,15269.842,29439.41,16.221,36.972,16.85,1.088,0.23395,0.18395
FI,Finland,2015-01-01,10156.882,4950.975,4105.519,39.23,32.207,52.618,24.567,0.1541,0.10175
FR,France,2015-01-01,28013.166,40692.404,46491.623,14.803,18.821,18.879,8.366,0.1679,0.1112
HR,Croatia,2015-01-01,1056.141,2429.916,1997.802,28.969,45.409,38.619,2.361,0.13145,0.10055
HU,Hungary,2015-01-01,3867.221,5969.813,4181.253,14.495,7.341,21.335,7.169,0.1136,0.08945
IE,Ireland,2015-01-01,2039.926,2829.165,3886.315,9.083,25.725,6.184,5.942,0.244,0.19805
IS,Iceland,2015-01-01,1460.048,392.234,300.785,71.949,93.11,69.196,6.095,0.1231,0.0974
IT,Italy,2015-01-01,24853.372,32494.483,36374.374,17.525,33.459,19.255,6.505,0.2439,0.1493
LI,Liechtenstein,2015-01-01,,,,,,,,0.1822,0.15935
LT,Lithuania,2015-01-01,982.755,1359.131,1750.186,25.748,15.543,46.081,4.582,0.1249499999999999,0.08685
LU,Luxembourg,2015-01-01,645.852,508.946,1958.228,4.987,6.197,6.858,6.7,0.1767,0.1331
LV,Latvia,2015-01-01,787.78,1105.582,1037.65,37.538,52.205,51.738,3.639,0.16425,0.1089499999999999
MT,Malta,2015-01-01,55.139,79.865,199.764,5.119,4.312,14.639,4.679,0.1263,0.1202999999999999
NL,Netherlands,2015-01-01,13143.134,9534.29,9855.152,5.714,11.04,5.278,5.597,0.1916,0.1261499999999999
PL,Poland,2015-01-01,14095.754,19032.461,16561.088,11.881,13.401,14.795,5.686,0.1431,0.1115
PT,Portugal,2015-01-01,4411.521,2751.749,5555.183,30.514,52.616,40.1,7.431,0.2282,0.11515
RO,Romania,2015-01-01,6418.898,7375.183,5337.702,24.785,43.161,25.886,5.488,0.1311,0.09325
SE,Sweden,2015-01-01,10920.312,7411.176,7295.5,52.22,65.733,63.235,21.49,0.1873,0.11925
SI,Slovenia,2015-01-01,1228.021,1172.476,1772.57,22.879,32.722,36.15,2.242,0.161,0.11245
SK,Slovakia,2015-01-01,3333.371,2573.288,2168.799,12.882,22.656,10.791,8.631,0.15115,0.12275
AT,Austria,2016-01-01,7608.447,6919.098,8598.512,33.37,72.521,33.48,10.583,0.2022,0.1232
BE,Belgium,2016-01-01,10628.386,8255.911,9005.12,8.744,15.834,8.247,6.029,0.26445,0.1691
BG,Bulgaria,2016-01-01,2655.459,2252.111,3268.077,18.76,19.147,29.99,7.203,0.0947,0.0789
CY,Cyprus,2016-01-01,215.369,333.642,658.147,9.833,8.587,24.69,2.671,0.1573999999999999,0.12395
CZ,Czechia,2016-01-01,6412.09,7090.172,6417.093,14.926,13.615,19.879,6.496,0.14205,0.11615
DE,Germany,2016-01-01,56677.082,56963.58,56556.589,14.885,32.273,13.032,7.013,0.2973,0.1385
DK,Denmark,2016-01-01,2185.46,4601.363,4379.51,31.715,53.717,41.078,6.732,0.3086,0.09225
EE,Estonia,2016-01-01,457.757,930.578,776.895,29.232,16.194,51.765,0.431,0.1222999999999999,0.09475
EL,Greece,2016-01-01,3073.122,4337.452,5897.048,15.39,22.657,25.422,1.624,0.17195,0.11735
ES,Spain,2016-01-01,20653.448,14331.695,30631.963,17.015,36.676,15.898,5.167,0.2234499999999999,0.1757
FI,Finland,2016-01-01,10500.774,5342.235,4180.495,38.943,32.716,53.704,8.816,0.1543,0.10185
FR,France,2016-01-01,28737.843,43102.268,46744.528,15.451,19.209,20.12,8.405,0.1698,0.10965
HR,Croatia,2016-01-01,1057.427,2409.158,2045.099,28.266,46.667,37.636,1.218,0.1321,0.101
HU,Hungary,2016-01-01,3988.299,6156.505,4261.597,14.377,7.292,21.027,7.768,0.11195,0.08815
IE,Ireland,2016-01-01,2114.94,2918.087,4098.28,9.189,27.069,6.243,5.159,0.2329,0.1886499999999999
IS,Iceland,2016-01-01,1344.211,423.296,333.071,75.329,95.31,78.245,6.297,0.1395,0.11005
IT,Italy,2016-01-01,25088.949,32185.101,35814.501,17.415,34.012,18.887,7.414,0.23015,0.1359
LI,Liechtenstein,2016-01-01,,,,,,,,0.17375,0.1517
