geo,Country,year,FC_IND_E_value,FC_OTH_HH_E_value,FC_TRA_E_value,REN_value,REN_ELC_value,REN_HEAT_CL_value,REN_TRA_value,I_TAX_value,X_TAX_value
AT,Austria,2015,7363.897,6631.937,8464.597,33.497,71.487,33.231,11.409,0.1996,0.125
AT,Austria,2016,7608.447,6919.098,8598.512,33.37,72.521,33.48,10.583,0.2022,0.1232
AT,Austria,2017,7629.156,6955.601,8724.365,33.136,71.626,33.67,9.703,0.19640000000000002,0.12195
AT,Austria,2018,7563.291,6531.091,8836.593,33.784,74.189,34.178,9.931,0.1989,0.12485
AT,Austria,2019,7542.285,6687.86,8830.326,33.755,75.067,33.929,10.051,0.2054,0.13324999999999998
AT,Austria,2020,7274.665,7033.251,7724.115,36.545,78.204,34.995,10.283,0.2139,0.1371
AT,Austria,2021,7455.981,7811.649,7996.576,34.643,74.008,33.127,9.648,0.22505,0.1421
AT,Austria,2022,7463.073,7108.457,7603.753,34.057,73.64,31.819,10.751,0.23095,0.18345
AT,Austria,2023,6788.523,7270.904,7430.987,41.6,87.899,40.77,13.576,0.27005,0.28405
AT,Austria,2024,6875.366,6932.267,7311.306,42.951,90.065,42.169,14.591,0.2584,0.2812
BE,Belgium,2015,10570.537,8229.602,8910.92,8.06,15.573,7.942,3.921,0.2239,0.18295
BE,Belgium,2016,10628.386,8255.911,9005.12,8.744,15.834,8.247,6.029,0.26445,0.1691
BE,Belgium,2017,10445.991,8131.16,8857.471,9.136,17.214,8.2,6.637,0.2867,0.18595
BE,Belgium,2018,10682.546,8039.139,8901.812,9.472,18.886,8.29,6.709,0.28800000000000003,0.19240000000000002
BE,Belgium,2019,10692.196,7503.961,8839.793,9.929,20.817,8.319,6.817,0.28495,0.1951
BE,Belgium,2020,10591.235,7581.389,7745.474,13.0,25.122,8.447,11.035,0.2747,0.1835
BE,Belgium,2021,11066.441,8228.015,8561.249,13.017,26.035,9.21,10.332,0.2848,0.1891
BE,Belgium,2022,9943.224,7036.456,8694.924,13.831,29.505,10.425,10.472,0.3963,0.32065
BE,Belgium,2023,9477.604,6947.24,8882.42,14.673,31.368,11.211,12.177,0.4064,0.31925000000000003
BE,Belgium,2024,9846.714,7099.329,8920.858,14.336,31.274,11.259,12.717,0.33335,0.2435
BG,Bulgaria,2015,2719.641,2192.912,3211.585,18.261,18.975,28.903,6.492,0.09495,0.07915
BG,Bulgaria,2016,2655.459,2252.111,3268.077,18.76,19.147,29.99,7.203,0.0947,0.0789
BG,Bulgaria,2017,2757.516,2318.715,3324.915,18.695,19.022,29.854,7.273,0.0969,0.08075
BG,Bulgaria,2018,2736.144,2229.672,3374.736,20.581,22.355,33.25,8.076,0.09920000000000001,0.0827
BG,Bulgaria,2019,2678.806,2162.252,3413.546,21.545,23.509,35.423,7.893,0.09775,0.08145
BG,Bulgaria,2020,2646.35,2382.245,3209.758,23.319,23.586,37.178,9.101,0.09895,0.08245
BG,Bulgaria,2021,2823.82,2403.893,3434.583,19.394,21.413,29.855,7.613,0.10575000000000001,0.0881
BG,Bulgaria,2022,2703.532,2137.397,3468.082,19.079,20.362,31.485,7.662,0.11199999999999999,0.09335
BG,Bulgaria,2023,2540.266,2046.582,3527.768,23.151,29.702,36.059,8.089,0.11649999999999999,0.09705
BG,Bulgaria,2024,2594.815,1961.546,3748.692,23.21,33.843,34.187,8.197,0.1202,0.10015
CY,Cyprus,2015,211.592,323.916,621.949,9.903,8.445,24.066,2.521,0.18975,0.15185
CY,Cyprus,2016,215.369,333.642,658.147,9.833,8.587,24.69,2.671,0.15739999999999998,0.12395
CY,Cyprus,2017,234.2,342.362,681.155,10.478,8.911,26.42,2.561,0.18445,0.1437
CY,Cyprus,2018,227.688,334.957,684.771,13.873,9.357,37.164,2.661,0.20379999999999998,0.15949999999999998
CY,Cyprus,2019,228.648,359.703,692.28,13.777,9.756,35.051,3.316,0.22194999999999998,0.15605
CY,Cyprus,2020,244.584,363.552,617.554,16.879,12.041,37.117,7.401,0.19155,0.13405
CY,Cyprus,2021,246.344,355.143,661.604,19.069,14.84,42.595,7.189,0.214,0.13635
CY,Cyprus,2022,250.728,360.543,654.346,19.427,16.963,41.56,7.228,0.2934,0.2122
CY,Cyprus,2023,252.856,336.459,683.163,20.213,20.939,42.75,7.285,0.35955000000000004,0.22055
CY,Cyprus,2024,246.929,347.807,697.176,20.844,24.086,42.297,7.389,0.3246,0.20950000000000002
CZ,Czechia,2015,6477.94,6769.51,6195.22,15.07,14.072,19.787,6.537,0.13965,0.11435000000000001
CZ,Czechia,2016,6412.09,7090.172,6417.093,14.926,13.615,19.879,6.496,0.14205,0.11615
